Product_Names,Product_Prices,Product_Images
1. Chipset BGA XC7Z010-1CLG400C/ XC7Z010/ 1CLG400C/ XC7Z010-CLG400ABX/ XC7Z010/ CLG400ABX for S9,$9.89,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
"2. Cooling fan AAVID PSAD1A238BH 120x120x38 (12V, 1.75A) MOQ:120",$2.56,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
3. Cooling fan Axial Fan Ball Bearing YD12038B2G 7200RPM 12v 4.5A 262g MOQ:120,$3.30,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
4. Cooling fan DELTA FFC0612DE 60x60×38 5000RPM 0.78a 12v MOQ:120,$2.80,https://static.insales-cdn.com/assets/1/428/3981740/1685618934/logotype.jpg
"5. Cooling fan DELTA QFR1212GHE 120×120×38 6000RPM (2,7 A) MOQ:120",$2.97,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
6. Cooling fan KZ14038B012U 140x140x38 7500RPM (12V 7.2A) MOQ:120,$4.45,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
7. Cooling fan NIDEC W12E12BS1B5-07 120х120×38 6400RPM (1.9A) MOQ:120,$2.80,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
"8. Cooling fan NIDEC W40S12BS4A5-07 40x40×28 3500RPM (0,73 A) MOQ:120",$2.80,https://static.insales-cdn.com/images/collections/1/4890/88953626/Antminer-S5.jpg
9. Diode RHRP1560 RHR1560 MOQ:100,$0.10,https://static.insales-cdn.com/r/f2AEjYNzN80/rs:fit:380:380:1/plain/images/products/1/1957/528484261/large_Chipset_BGA_XC7Z010-1CLG400C.png
10. IC BM1387B QFN-32 BM1387 QFN32 1387B 1387 for S9/ S9i/ T9/ T9+,$1.15,https://static.insales-cdn.com/r/OmE9YyvJGSU/rs:fit:380:380:1/plain/images/products/1/3650/528485954/large_Cooling_fan_AAVID_PSAD1A238BH_120x120x38__12V__1.75A__ORIG_1.jpg
11. IC BM1393 BM1393B for S9K/ S9SE,$1.32,https://static.insales-cdn.com/r/C9Qb0_jJWFY/rs:fit:380:380:1/plain/images/products/1/1160/560702600/large_YD12038B2G.jpg
12. IC BM1396 BM1396AB for S17e/ T17e/ 7nm,$14.50,https://static.insales-cdn.com/r/IjXYIJJSrSU/rs:fit:380:380:1/plain/images/products/1/4255/524619935/large_H2183170757c942f0bcabe26b675e1e6bd__1_.jpg
13. IC BM1396 BM1396AB for S17e/ T17e/ 7nm USED,$7.42,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
14. IC BM1397 BM1397AG BM1397AI BM1397AH BM1397AD for Antminer S17/S17Pro T17 S17+ T17+,$27.19,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
15. IC BM1397 BM1397AG BM1397AI BM1397AH BM1397AD for Antminer S17/S17Pro T17 S17+ T17+ USED,$13.19,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
16. IC BM1485 for L3/ L3+/ L3++,$1.81,https://static.insales-cdn.com/assets/1/428/3981740/1685618934/logotype.jpg
17. Mining Power Supply 2000W,$42.85,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
18. Stencil Template BM1387/ BM1391/ BM1393/ BM1396/ BM1397/ BM1398 (50*50mm),$6.26,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
19. Thermal Grease Conductive Paste GD900 for CPU 15G (导热硅脂) MOQ:40 (鲲鹏),$1.72,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
20. Thermal Grease Conductive Paste GD900 for CPU 3G (导热硅脂) MOQ:40 (鲲鹏),$0.69,https://static.insales-cdn.com/r/GxcxlGd76LI/rs:fit:380:380:1/plain/images/products/1/4597/538759669/large_bm1396ab.png
21. Thermal Grease Conductive Paste GD900 for CPU 7G (导热硅脂) MOQ:40 (鲲鹏),$1.03,https://static.insales-cdn.com/r/-uUEOUPWr1c/rs:fit:380:380:1/plain/images/products/1/7657/528522729/large_IC_BM1397_2.jpg
22. 机器配件 14 Pin signal data ribbon cable 20cm INNOSILICON 信号线 MOQ:500,$0.49,https://static.insales-cdn.com/r/CptoJxd9eN8/rs:fit:380:380:1/plain/images/products/1/7128/538762200/large_ic.png
23. 机器配件 14 Pin signal data ribbon cable 30cm INNOSILICON 信号线 MOQ:500,$0.58,https://static.insales-cdn.com/r/Aaj0l9Mc97A/rs:fit:380:380:1/plain/images/products/1/7903/528482015/large_IC_BM1485.png
24. 机器配件 18 Pin signal data ribbon cable 20cm L3+ / S9 信号线 MOQ:500,$0.79,https://static.insales-cdn.com/r/6tNMTKwJM6g/rs:fit:380:380:1/plain/images/products/1/266/690544906/large_Mining_Power_Supply_2000W_2.jpg
25. 机器配件 18 Pin signal data ribbon cable 30cm L3+ / S9 信号线 MOQ:500,$0.63,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
26. 机器配件 18 Pin signal data ribbon cable 60cm L3+ / S9 信号线 MOQ:500,$0.99,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
27. 机器配件 20 Pin signal data ribbon cable 20cm EBIT 信号线 MOQ:500,$0.74,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
28. 机器配件 24 Pin signal data ribbon cable 20cm T9+ 信号线 MOQ:500,$0.66,https://static.insales-cdn.com/assets/1/428/3981740/1685618934/logotype.jpg
29. 机器配件 6 Pin Connector Sever Power Supply Cable PCIe S9 / S9j / L3+ / Z9 / D3 100CM 电源线 MOQ:200,$3.96,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
30. 机器配件 6 Pin Connector Sever Power Supply Cable PCIe S9 / S9j / L3+ / Z9 / D3 20CM 电源线 MOQ:200,$1.73,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/russia-icon.png
31. 机器配件 6 Pin Connector Sever Power Supply Cable PCIe S9 / S9j / L3+ / Z9 / D3 50CM 电源线 MOQ:200,$1.81,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
32. 机器配件 6 Pin Connector Sever Power Supply Cable PCIe S9 / S9j / L3+ / Z9 / D3 80CM 电源线 MOQ:200,$3.30,https://static.insales-cdn.com/r/BSuHuHXuSYE/rs:fit:380:380:1/plain/images/products/1/1323/524649771/large_Hbba76ac425244f8390ea030d3392bd84i.jpg
33. 机器配件 Connector 14 Pin [2*7pin] Power Connector Looper Curved MOQ:500,$0.21,https://static.insales-cdn.com/r/d6W1ThE72iQ/rs:fit:380:380:1/plain/images/products/1/5312/524645568/large_5-18__1_.jpg
34. 机器配件 Connector 14 Pin [2*7pin] Power Connector Looper Straight MOQ:500,$0.19,https://static.insales-cdn.com/r/8NXzOwiaEew/rs:fit:380:380:1/plain/images/products/1/3325/524651773/large_Hbcac3a1950d941e2b604fda0f7de8b3d4___%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.jpg
35. 机器配件 Connector 18 Pin [2*9pin] Power Connector Looper Curved MOQ:500,$0.25,https://static.insales-cdn.com/r/3h3AMY8vnrU/rs:fit:380:380:1/plain/images/products/1/7097/524647353/large_H2f183c1275054d31b40ad9b184014d65M.jpg
36. 机器配件 Connector 18 Pin [2*9pin] Power Connector Looper Straight MOQ:500,$0.25,https://static.insales-cdn.com/r/H2ldCoM_HIo/rs:fit:380:380:1/plain/images/products/1/3103/528116767/large_Connector_6-pin_2.png
37. 机器配件 Connector 24 Pin [2*12pin] Power Connector Looper Curved MOQ:500,$0.33,https://static.insales-cdn.com/assets/1/5664/3724832/1674546397/uk-icon.png
